tx	sorghum1	sorghum2
EER90453	0.317059	0.297251
EER93047	29.553488	32.248022
OQU90570	0	0
OQU90572	0	0
OQU90571	0	0
KXG37057	0	0
KXG37058	3.860058	4.802715
KXG37059	4.273418	2.231545
OQU90573	0	0
OQU90574	0	0
EER90454	0.015401	0
OQU90575	7.8484	8.007605
OQU90577	0	0
OQU90578	0.112647	0
KXG37061	0	0
OQU90576	0	0
EER93049	372.342281	351.061014
EER90455	0.051271	0.287416
KXG37063	1.212089	0.753468
OQU90579	0	0
KXG37064	5.313846	2.426767
EER93051	0.206643	0.144518
EER90457	32.349078	36.098838
OQU90580	9.834729	5.953157
OQU90581	23.710694	25.989813
KXG37068	3.694785	3.43456
OQU90582	0.542139	0.333813
EER90458	0	0
KXG37070	23.674778	22.358716
EER93053	24.845369	25.852654
OQU90584	7.669639	7.418958
OQU90583	1.386865	1.024582
EER90459	0	0
EER90460	2.468753	2.433858
EER90461	0.944214	0.674819
EER90462	0	0
KXG37072	2.724647	0.324733
KXG37071	3.656415	8.683677
OQU90585	0	0
EER90463	4.071119	3.799592
OQU90586	7.750348	6.311958
EER93055	23.23911	24.758139
KXG37073	0	0
EER90465	13.141821	11.879849
EER90466	204.148593	196.731938
KXG37075	217.812685	216.469434
OQU90588	0.146668	0
EER90467	3.075572	3.515371
OQU90587	1.541311	1.361805
EER93056	0	0
EER90468	22.525522	22.846336
EER90469	8.390055	7.172673
EER90470	11.519059	8.579678
KXG37080	8.803545	7.08357
KXG37081	1.580711	1.695562
EER90473	53.239795	50.304982
EER93057	13.516123	16.072515
OQU90591	3.753063	3.370509
OQU90592	0	0
EER90476	22.475439	22.60656
EER93059	594.111139	557.414154
OQU90593	0	0
EER90477	0.381776	0.588873
EER90478	5.517701	5.85541
EER93060	71.520524	78.138481
EER90479	0	0
KXG37083	1.425762	1.378215
EER90480	7.688295	6.610481
EER93061	0	0.055363
KXG37084	31.723253	64.038664
KXG37085	190.52606	124.629175
KXG37086	3.521091	6.769749
EER90481	2.850264	2.123797
OQU90594	0	0
OQU90595	0	0
OQU90596	0	0
OQU90597	0	0
EER93063	58.078341	54.790663
EER93064	33.669101	32.885755
EER90483	0.618116	0.689624
KXG37088	6.214971	6.338012
ENSRNA049997130-T1	0	0
EER90485	87.684781	83.722799
EER93066	16.392144	17.216307
KXG37089	0	0
KXG37090	0.237617	0.220651
EER93069	2.67571	1.421796
EER93070	125.125683	113.495274
EER93071	1.376655	1.075851
KXG37091	1.669322	2.166478
KXG37092	2.857559	1.514733
EER90487	2e-06	2.528002
OQU90598	12.655982	10.9133
KXG37095	4.929584	4.139422
EER90488	0	0
EER90489	29.502752	30.805591
OQU90599	0.944008	1.172091
KXG37096	11.942808	10.804192
KXG37097	0	0
EER93074	0.490026	0.483336
OQU90600	23.394999	22.162807
KXG37098	3.825969	1.965681
EER93075	35.052253	32.261387
EER90492	11.74006	10.939412
EER90493	74.462622	73.486506
KXG37099	1.584138	1.671746
EER93077	7.732255	8.455161
EER90494	10.545342	13.51381
KXG37100	2.607015	2.421139
EER93078	17.337434	21.444715
KXG37101	18.90747	18.942414
EER90497	2.127668	0
OQU90601	2.219428	5.013553
OQU90602	0.393925	0.240693
EER90496	6.204135	5.164083
EER90498	17.349348	19.385412
EER93080	2.405978	1.874466
OQU90603	3.887211	0.912335
EER93081	13.848118	17.708968
EER90499	23.176397	23.894248
KXG37102	102.87842	100.805409
EER90500	0	0
KXG37103	0	0.061292
OQU90605	0.067384	0
OQU90604	0	0
KXG37104	26.015882	22.920359
KXG37105	0.5675	0.837047
EER93083	100.171614	102.34901
KXG37106	1.202273	1.051821
EER90503	2.014062	2.077606
EER90502	89.554742	85.315063
EER90505	33.24218	32.728054
KXG37109	41.18827	41.355238
KXG37110	5.002283	3.46453
KXG37111	0.281779	0.10454
EER93086	122.796539	123.612308
OQU90606	1.72853	1.610423
OQU90607	0	0
KXG37112	5.44083	6.961257
EER93088	39.59894	37.620809
EER93089	0.930984	0.84627
EER93090	74.914657	77.417762
EER90506	90.604043	89.85033
EER90507	38.431574	38.69956
EER93091	11.915211	13.887987
EER90508	47.283887	48.867161
KXG37113	0	0
EER93092	48.860864	45.611197
EER90510	30.706991	29.664567
OQU90608	13.123853	14.576271
EER90511	96.670782	95.886981
KXG37115	34.344466	36.877402
KXG37116	0	0
EER93093	64.160246	60.2857
EER90512	5.418039	3.839221
ENSRNA049997137-T1	0	0
ENSRNA049469069-T1	0	0
EER93094	2.551588	2.478688
EER90514	36.057814	36.32709
OQU90609	0.223859	0.546151
OQU90610	4.282611	0.910274
EER93095	327.045898	335.295424
EER93097	320.541975	322.055233
EER90516	306.537104	320.173707
KXG37119	5.920057	7.748473
KXG37118	331.883805	357.802454
KXG37121	205.730855	201.103253
KXG37120	0	0.394768
EER93098	3.674863	3.22786
OQU90611	0.22794	0.17263
KXG37122	10.698595	10.553505
OQU90613	1.579433	1.426446
EER90517	11.904457	12.076343
KXG37123	12.69967	15.957536
OQU90612	1.548043	1.70091
KXG37124	0	0
EER90518	43.693466	41.934746
EER93100	18.56178	19.127125
EER93101	4.206744	4.662681
KXG37125	36.206436	31.210156
EER93104	15.682983	13.788669
EER90519	4.616495	5.437386
ENSRNA049468963-T1	0	0
OQU90614	0	0
EER93103	0.895397	3.117917
OQU90615	3.000804	1.366793
OQU90618	0	0.298195
OQU90617	0	0
OQU90616	2.359389	2.929842
OQU90619	0	0
OQU90621	0.196506	0
EER90521	0	0
EER93105	14.956271	12.13447
OQU90622	0	0
OQU90623	1.437985	0
OQU90624	61.573595	54.08159
KXG37127	14.612463	14.781667
KXG37131	22.086156	21.982805
KXG37128	5.751207	8.295108
KXG37130	13.432116	12.305202
OQU90627	0	0
OQU90626	0.245521	0.196871
KXG37138	0	0
OQU90630	9.068969	8.49268
KXG37139	0.831998	0
OQU90625	0	0
KXG37144	0	0
EER90523	5.547212	0.490191
OQU90632	0	5.334928
KXG37145	0	0
EER90524	0	0
EER90525	79.420627	78.210659
KXG37146	23.826398	26.279011
OQU90633	0	0
EER90527	0.401294	0.514813
KXG37149	1.635548	2.028113
KXG37148	20.309906	17.032031
OQU90634	1.918288	3.660882
EER90528	22.977628	24.468466
OQU90635	2.675681	3.26974
EER90530	20.036379	20.144109
KXG37151	11.059896	12.374291
OQU90636	0	0
OQU90637	0	0
EER93108	2.161124	0.859478
EER90532	111.337651	107.379466
EER93109	19.459246	18.757472
EER90533	8.386947	10.368167
EER93111	0.552921	0.19001
OQU90638	0	0
OQU90639	13.915444	12.975723
EER93110	569.819343	519.328568
