tx	SRR1192255	SRR1192256	SRR1192257	SRR1192258	SRR1192259	SRR1192260
ATCG00010.1	0	0	0	0	0	0
ATCG00020.1	64075.643265	65505.902765	74683.152418	70491.29191	69019.889688	69146.912851
ATCG00030.1	0	0	0	0	0	0
ATCG00040.1	4535.031534	4402.471693	6351.325039	4288.162051	3808.136025	3399.684772
ATCG00050.1	477.412537	431.119235	416.665755	707.22186	855.819478	712.199604
ATCG00060.1	0	0	0	0	0	0
ATCG00070.1	19810.799745	17215.78659	21763.100332	15991.362981	13217.834783	12892.927788
ATCG00080.1	7636.571742	6992.786794	4600.822323	6055.941082	5495.656282	5209.36488
ATCG00090.1	0	0	0	0	2.140887	0
ATCG00100.1	0	0	0	0	0	0
ATCG00110.1	0	0	0	0	0	0
ATCG00120.1	2129.187142	2760.796019	2826.299627	1826.502543	1903.095494	1930.106165
ATCG00130.1	5760.213645	6074.687156	6765.658037	5143.094927	5057.090088	5005.496697
ATCG00140.1	61710.357168	61158.286156	120545.412522	54304.386636	53127.175097	45761.817628
ATCG00150.1	2206.225886	3001.465357	4024.513614	3059.532249	3290.005332	3442.405245
ATCG00160.1	355.516653	516.530574	647.699117	595.38277	685.305525	747.885843
ATCG00170.1	104.324684	153.466625	183.025033	137.967044	159.195199	164.870958
ATCG00180.1	271.41452	382.383789	431.75831	344.636726	420.193112	450.96534
ATCG00190.1	96.586587	133.869797	173.466704	135.018617	147.058395	149.134836
ATCG00200.1	0	0	0	0	0	0
ATCG00210.1	0	0	0	0	0	0
ATCG00220.1	353.018991	230.132129	206.835214	202.659446	154.143846	119.137941
ATCG00230.1	0	0	0	0	0	0
ATCG00240.1	0	0	0	0	0	0
ATCG00250.1	0	0	0	0	0	0
ATCG00260.1	0	0	0	0	0	0
ATCG00270.1	1987.86051	3060.503093	4733.194147	2767.01089	3167.08241	3498.471602
ATCG00280.1	2550.389344	3788.612554	4602.164036	3387.572276	3868.117804	4152.034974
ATCG00290.1	0	0	0	0	0	0
ATCG00300.1	33364.642197	40609.669167	27356.299275	34834.604178	39629.648753	40902.357879
ATCG00310.1	0	0	0	0	0	0
